,approach,count_id,time,type,volume
396,SB,232,1995-11-08 08:15:00,am15,46
397,SB,232,1995-11-08 17:00:00,pm15,127
398,SB,232,1995-11-08 08:00:00,am60,178
399,SB,232,1995-11-08 16:45:00,pm60,454
400,SB,239,2001-05-23 07:15:00,am15,102
401,SB,239,2001-05-23 17:30:00,pm15,140
402,SB,239,2001-05-23 07:00:00,am60,356
403,SB,239,2001-05-23 17:00:00,pm60,453
404,SB,252,2001-07-19 08:15:00,am15,121
405,SB,252,2001-07-19 17:15:00,pm15,506
406,SB,252,2001-07-19 07:30:00,am60,461
407,SB,252,2001-07-19 17:00:00,pm60,1878
408,SB,254,2000-07-28 07:15:00,am15,93
409,SB,254,2000-07-28 15:45:00,pm15,160
410,SB,254,2000-07-28 07:00:00,am60,336
411,SB,254,2000-07-28 15:45:00,pm60,568
412,SB,256,2007-08-13 08:00:00,am15,151
413,SB,256,2007-08-13 16:00:00,pm15,438
414,SB,256,2007-08-13 07:30:00,am60,573
415,SB,256,2007-08-13 17:00:00,pm60,1674
416,SB,257,2015-06-11 07:30:00,am15,160
417,SB,257,2015-06-11 17:45:00,pm15,443
418,SB,257,2015-06-11 07:15:00,am60,609
419,SB,257,2015-06-11 17:00:00,pm60,1655
420,SB,261,2004-04-27 07:45:00,am15,314
421,SB,261,2004-04-27 16:45:00,pm15,360
422,SB,261,2004-04-27 07:45:00,am60,1170
423,SB,261,2004-04-27 16:45:00,pm60,1400
424,SB,262,2006-02-23 07:45:00,am15,251
425,SB,262,2006-02-23 17:45:00,pm15,679
426,SB,262,2006-02-23 07:30:00,am60,914
427,SB,262,2006-02-23 17:00:00,pm60,2484
428,SB,263,2006-02-23 07:45:00,am15,251
429,SB,263,2006-02-23 17:45:00,pm15,679
430,SB,263,2006-02-23 07:30:00,am60,914
431,SB,263,2006-02-23 17:00:00,pm60,2484
432,SB,269,1993-12-07 08:00:00,am15,122
433,SB,269,1993-12-07 16:00:00,pm15,147
434,SB,269,1993-12-07 07:45:00,am60,423
435,SB,269,1993-12-07 15:45:00,pm60,545
436,SB,279,1998-04-20 07:45:00,am15,82
437,SB,279,1998-04-20 16:45:00,pm15,137
438,SB,279,1998-04-20 07:15:00,am60,299
439,SB,279,1998-04-20 16:00:00,pm60,481
440,SB,280,2008-10-17 07:30:00,am15,87
441,SB,280,2008-10-17 16:45:00,pm15,153
442,SB,280,2008-10-17 07:15:00,am60,310
443,SB,280,2008-10-17 16:00:00,pm60,576
444,SB,292,2012-08-29 07:45:00,am15,254
445,SB,292,2012-08-29 17:15:00,pm15,382
446,SB,292,2012-08-29 07:30:00,am60,944
447,SB,292,2012-08-29 17:00:00,pm60,1321
448,SB,293,2012-08-29 07:45:00,am15,254
449,SB,293,2012-08-29 17:15:00,pm15,382
450,SB,293,2012-08-29 07:30:00,am60,944
451,SB,293,2012-08-29 17:00:00,pm60,1321
452,SB,305,2001-06-01 07:30:00,am15,6
453,SB,305,2001-06-01 15:00:00,pm15,5
454,SB,305,2001-06-01 07:00:00,am60,11
455,SB,305,2001-06-01 14:45:00,pm60,10
456,SB,308,2009-03-02 07:45:00,am15,224
457,SB,308,2009-03-02 17:15:00,pm15,342
458,SB,308,2009-03-02 07:30:00,am60,826
459,SB,308,2009-03-02 16:45:00,pm60,1287
460,SB,310,1996-04-05 08:15:00,am15,140
461,SB,310,1996-04-05 17:15:00,pm15,334
462,SB,310,1996-04-05 07:45:00,am60,544
463,SB,310,1996-04-05 16:30:00,pm60,1286
464,SB,314,1994-05-06 09:30:00,am15,153
465,SB,314,1994-05-06 17:15:00,pm15,508
466,SB,314,1994-05-06 09:00:00,am60,519
467,SB,314,1994-05-06 17:00:00,pm60,2025
468,SB,315,2015-06-11 07:45:00,am15,483
469,SB,315,2015-06-11 17:15:00,pm15,217
470,SB,315,2015-06-11 07:00:00,am60,1898
471,SB,315,2015-06-11 16:30:00,pm60,765
472,SB,316,2012-09-11 07:45:00,am15,200
473,SB,316,2012-09-11 17:30:00,pm15,440
474,SB,316,2012-09-11 07:30:00,am60,705
475,SB,316,2012-09-11 17:00:00,pm60,1600
476,SB,327,2000-06-26 07:30:00,am15,148
477,SB,327,2000-06-26 16:45:00,pm15,378
478,SB,327,2000-06-26 07:30:00,am60,490
479,SB,327,2000-06-26 16:00:00,pm60,1336
480,SB,338,2001-08-17 08:00:00,am15,127
481,SB,338,2001-08-17 17:30:00,pm15,456
482,SB,338,2001-08-17 07:45:00,am60,462
483,SB,338,2001-08-17 17:00:00,pm60,1691
484,SB,341,2009-02-26 07:00:00,am15,0
485,SB,341,2009-02-26 15:00:00,pm15,1
486,SB,341,2009-02-26 07:00:00,am60,0
