,Peak,Pedestrian,Spec_Veh,Volume,count_id
461,Pass,Pass,Pass,Pass,1355
462,Pass,Fail,Pass,Fail,1356
463,Pass,Pass,Pass,Fail,1358
464,Pass,Pass,Pass,Pass,1359
465,Pass,Pass,Pass,Pass,1361
466,Pass,Pass,Pass,Pass,1362
467,Pass,Pass,Pass,Pass,1369
468,Pass,Pass,Pass,Pass,1370
469,Pass,Pass,Pass,Pass,1374
470,Pass,Pass,Pass,Pass,1379
471,Pass,Pass,Pass,Pass,1380
472,Pass,Pass,Pass,Pass,1383
473,Pass,Fail,Pass,Fail,1386
474,Pass,Pass,Pass,Pass,1387
475,Pass,Fail,Pass,Fail,1388
476,Pass,Pass,Pass,Pass,1390
477,Pass,Fail,Pass,Fail,1391
478,Pass,Pass,Pass,Pass,1394
479,Pass,Pass,Pass,Pass,1395
480,Pass,Pass,Pass,Pass,1396
481,Fail,Pass,Pass,Fail,1400
482,Pass,Pass,Pass,Pass,1401
483,Pass,Pass,Pass,Pass,1419
484,Pass,Pass,Pass,Pass,1421
485,Pass,Pass,Pass,Pass,1426
486,Pass,Pass,Pass,Pass,1429
487,Pass,Pass,Pass,Pass,1430
488,Fail,Pass,Pass,Fail,1432
489,Fail,Pass,Fail,Pass,1433
490,Pass,Pass,Pass,Fail,1443
491,Pass,Pass,Pass,Fail,1448
492,Pass,Pass,Pass,Pass,1458
493,Pass,Fail,Pass,Fail,1463
494,Pass,Pass,Fail,Pass,1473
495,Pass,Pass,Pass,Pass,1474
496,Fail,Pass,Fail,Fail,1476
497,Fail,Pass,Pass,Pass,1491
498,Pass,Pass,Fail,Pass,1496
499,Pass,Fail,Pass,Fail,1497
500,Pass,Pass,Pass,Pass,1502
501,Pass,Pass,Pass,Pass,1503
502,Pass,Pass,Pass,Pass,1505
503,Pass,Pass,Pass,Pass,1508
504,Pass,Pass,Pass,Pass,1511
505,Pass,Pass,Pass,Pass,1512
506,Pass,Pass,Pass,Pass,1513
507,Fail,Pass,Pass,Pass,1514
508,Pass,Pass,Pass,Pass,1515
509,Pass,Pass,Pass,Pass,1517
510,Pass,Pass,Pass,Fail,1519
511,Pass,Pass,Pass,Pass,1521
512,Pass,Pass,Pass,Pass,1529
513,Pass,Pass,Pass,Pass,1530
514,Pass,Pass,Pass,Fail,1537
515,Fail,Fail,Fail,Fail,1540
516,Pass,Fail,Pass,Fail,1547
517,Pass,Fail,Pass,Fail,1552
518,Pass,Pass,Pass,Pass,1553
519,Pass,Pass,Pass,Pass,1563
520,Pass,Pass,Pass,Pass,1565
521,Pass,Pass,Pass,Pass,1571
522,Pass,Pass,Pass,Pass,1572
523,Pass,Pass,Pass,Fail,1573
524,Fail,Pass,Pass,Pass,1575
525,Pass,Pass,Pass,Pass,1578
526,Pass,Pass,Pass,Pass,1579
527,Pass,Pass,Pass,Pass,1581
528,Pass,Pass,Fail,Pass,1585
529,Pass,Pass,Pass,Pass,1588
530,Pass,Pass,Pass,Pass,1589
531,Pass,Pass,Pass,Pass,1592
532,Pass,Pass,Pass,Pass,1594
533,Pass,Pass,Pass,Pass,1595
534,Pass,Pass,Pass,Pass,1617
535,Pass,Pass,Pass,Pass,1619
536,Pass,Pass,Pass,Pass,1636
537,Pass,Pass,Pass,Pass,1637
538,Pass,Pass,Pass,Pass,1645
539,Pass,Pass,Pass,Pass,1648
540,Pass,Pass,Pass,Pass,1649
541,Pass,Pass,Pass,Pass,1650
542,Pass,Pass,Pass,Pass,1662
543,Fail,Pass,Pass,Fail,1667
544,Pass,Pass,Pass,Pass,1669
545,Pass,Pass,Pass,Pass,1670
546,Fail,Pass,Pass,Pass,1684
547,Fail,Pass,Pass,Pass,1685
548,Pass,Pass,Pass,Pass,1686
549,Pass,Pass,Pass,Pass,1687
550,Pass,Pass,Pass,Pass,1695
551,Pass,Pass,Pass,Pass,1696
552,Pass,Pass,Fail,Fail,1697
553,Fail,Pass,Pass,Fail,1705
554,Pass,Pass,Pass,Pass,1706
555,Fail,Pass,Fail,Pass,1724
556,Pass,Pass,Fail,Pass,1725
557,Pass,Pass,Pass,Fail,1727
558,Pass,Fail,Pass,Fail,1728
559,Pass,Fail,Pass,Fail,1729
560,Pass,Fail,Pass,Fail,1739
561,Pass,Pass,Pass,Pass,1742
562,Pass,Pass,Pass,Pass,1746
563,Pass,Pass,Pass,Pass,1747
564,Pass,Fail,Pass,Fail,1750
565,Pass,Fail,Pass,Fail,1751
566,Pass,Pass,Pass,Pass,1752
567,Pass,Pass,Pass,Pass,1755
568,Pass,Pass,Pass,Pass,1756
569,Pass,Pass,Pass,Pass,1757
570,Pass,Pass,Pass,Pass,1758
571,Pass,Pass,Pass,Pass,1759
572,Pass,Pass,Pass,Pass,1760
573,Pass,Pass,Pass,Pass,1763
574,Pass,Fail,Pass,Fail,1764
575,Pass,Pass,Pass,Pass,1772
576,Pass,Pass,Pass,Pass,1773
577,Pass,Fail,Pass,Fail,1778
578,Pass,Fail,Pass,Fail,1781
579,Pass,Fail,Pass,Fail,1784
580,Pass,Pass,Pass,Pass,1785
581,Pass,Pass,Pass,Pass,1786
582,Pass,Fail,Pass,Fail,1789
583,Pass,Fail,Pass,Fail,1790
584,Pass,Pass,Pass,Pass,1791
585,Pass,Pass,Pass,Pass,1792
586,Pass,Pass,Pass,Pass,1793
587,Pass,Pass,Pass,Pass,1794
588,Pass,Pass,Pass,Pass,1795
589,Pass,Pass,Pass,Pass,1804
590,Pass,Pass,Pass,Pass,1805
591,Fail,Pass,Pass,Pass,1806
592,Pass,Pass,Pass,Pass,1807
593,Pass,Pass,Pass,Fail,1808
594,Pass,Fail,Pass,Fail,1811
595,Pass,Pass,Pass,Fail,1812
596,Pass,Fail,Pass,Fail,1813
597,Pass,Pass,Pass,Pass,1814
598,Pass,Fail,Pass,Fail,1815
599,Pass,Pass,Pass,Pass,1816
600,Pass,Fail,Pass,Fail,1822
601,Pass,Pass,Pass,Pass,1823
602,Fail,Pass,Pass,Fail,1824
603,Fail,Pass,Pass,Fail,1825
604,Pass,Fail,Pass,Fail,1827
605,Pass,Pass,Pass,Pass,1835
606,Pass,Pass,Pass,Pass,1836
607,Pass,Pass,Pass,Pass,1837
608,Pass,Pass,Pass,Pass,1838
609,Pass,Fail,Pass,Fail,1839
610,Pass,Pass,Pass,Pass,1842
611,Pass,Pass,Pass,Pass,1843
612,Pass,Fail,Pass,Fail,1844
613,Fail,Pass,Pass,Pass,1845
614,Pass,Pass,Pass,Pass,1846
615,Pass,Pass,Pass,Pass,1847
616,Pass,Pass,Pass,Pass,1848
617,Fail,Pass,Pass,Fail,1850
618,Pass,Pass,Pass,Pass,1851
619,Pass,Pass,Pass,Pass,1852
620,Pass,Fail,Pass,Fail,1856
621,Pass,Pass,Pass,Pass,1857
622,Pass,Pass,Pass,Pass,1858
623,Pass,Pass,Pass,Fail,1860
624,Pass,Pass,Pass,Pass,1861
625,Pass,Pass,Fail,Fail,1864
626,Fail,Fail,Fail,Fail,1866
627,Pass,Pass,Pass,Pass,1867
628,Fail,Pass,Fail,Pass,1868
629,Pass,Pass,Pass,Pass,1869
630,Pass,Pass,Pass,Pass,1871
631,Pass,Pass,Pass,Pass,1872
632,Pass,Pass,Pass,Fail,1873
633,Pass,Pass,Pass,Pass,1885
634,Pass,Pass,Pass,Pass,1886
635,Pass,Fail,Pass,Fail,1887
636,Pass,Fail,Pass,Fail,1889
637,Pass,Pass,Pass,Pass,1894
638,Pass,Pass,Pass,Pass,1895
639,Pass,Pass,Pass,Pass,1901
640,Pass,Pass,Pass,Pass,1909
641,Fail,Pass,Pass,Pass,1910
642,Pass,Pass,Pass,Pass,1911
643,Pass,Pass,Pass,Pass,1917
644,Pass,Pass,Pass,Pass,1918
645,Pass,Fail,Pass,Fail,1922
