,approach,count_id,type,volume
751,EB,129,bike,0
752,EB,129,bus,26
753,WB,129,dual,107
754,WB,129,bike,0
755,WB,129,bus,22
756,NB,130,dual,0
757,NB,130,bike,0
758,NB,130,bus,0
759,SB,130,dual,0
760,SB,130,bike,0
761,SB,130,bus,0
762,EB,130,dual,0
763,EB,130,bike,0
764,EB,130,bus,0
765,WB,130,dual,0
766,WB,130,bike,0
767,WB,130,bus,0
768,NB,131,dual,58
769,NB,131,bike,6
770,NB,131,bus,0
771,SB,131,dual,8
772,SB,131,bike,3
773,SB,131,bus,0
774,EB,131,dual,63
775,EB,131,bike,1
776,EB,131,bus,0
777,WB,131,dual,48
778,WB,131,bike,4
779,WB,131,bus,0
780,NB,132,dual,54
781,NB,132,bike,0
782,NB,132,bus,1
783,SB,132,dual,12
784,SB,132,bike,0
785,SB,132,bus,0
786,EB,132,dual,61
787,EB,132,bike,0
788,EB,132,bus,0
789,WB,132,dual,47
790,WB,132,bike,0
791,WB,132,bus,0
792,NB,133,dual,42
793,NB,133,bike,0
794,NB,133,bus,0
795,SB,133,dual,7
796,SB,133,bike,0
797,SB,133,bus,0
798,EB,133,dual,61
799,EB,133,bike,0
800,EB,133,bus,0
801,WB,133,dual,41
802,WB,133,bike,0
803,WB,133,bus,0
804,NB,135,dual,5
805,NB,135,bike,0
806,NB,135,bus,0
807,SB,135,dual,0
808,SB,135,bike,0
809,SB,135,bus,0
810,EB,135,dual,137
811,EB,135,bike,0
812,EB,135,bus,30
813,WB,135,dual,95
814,WB,135,bike,0
815,WB,135,bus,20
816,NB,136,dual,3
817,NB,136,bike,2
818,NB,136,bus,0
819,SB,136,dual,0
820,SB,136,bike,2
821,SB,136,bus,0
822,EB,136,dual,7
823,EB,136,bike,0
824,EB,136,bus,0
825,WB,136,dual,3
826,WB,136,bike,1
827,WB,136,bus,0
828,NB,137,dual,3
829,NB,137,bike,0
830,NB,137,bus,0
831,SB,137,dual,2
832,SB,137,bike,0
833,SB,137,bus,0
834,EB,137,dual,5
835,EB,137,bike,0
836,EB,137,bus,0
837,WB,137,dual,9
838,WB,137,bike,0
839,WB,137,bus,0
840,NB,138,dual,2
841,NB,138,bike,8
842,NB,138,bus,0
843,SB,138,dual,6
844,SB,138,bike,4
845,SB,138,bus,0
846,EB,138,dual,153
847,EB,138,bike,5
848,EB,138,bus,76
849,WB,138,dual,88
850,WB,138,bike,0
851,WB,138,bus,81
852,NB,139,dual,134
853,NB,139,bike,10
854,NB,139,bus,203
855,SB,139,dual,98
856,SB,139,bike,19
857,SB,139,bus,122
858,EB,139,dual,67
859,EB,139,bike,12
860,EB,139,bus,149
861,WB,139,dual,S/B
862,WB,139,bike,TIME
863,WB,139,bus,E/B
864,NB,143,dual,13
865,NB,143,bike,0
866,NB,143,bus,0
867,SB,143,dual,0
868,SB,143,bike,0
869,SB,143,bus,0
870,EB,143,dual,137
871,EB,143,bike,0
872,EB,143,bus,37
873,WB,143,dual,149
874,WB,143,bike,19
875,WB,143,bus,72
876,NB,144,dual,0
877,NB,144,bike,0
878,NB,144,bus,0
879,SB,144,dual,0
880,SB,144,bike,0
881,SB,144,bus,0
882,EB,144,dual,151
883,EB,144,bike,0
884,EB,144,bus,72
885,WB,144,dual,157
886,WB,144,bike,2
887,WB,144,bus,51
888,NB,147,dual,4
889,NB,147,bike,0
890,NB,147,bus,0
891,SB,147,dual,1
892,SB,147,bike,0
893,SB,147,bus,0
894,EB,147,dual,4
895,EB,147,bike,0
896,EB,147,bus,0
897,WB,147,dual,5
898,WB,147,bike,0
899,WB,147,bus,1
900,NB,148,dual,4
901,NB,148,bike,0
902,NB,148,bus,0
903,SB,148,dual,8
904,SB,148,bike,0
905,SB,148,bus,0
906,EB,148,dual,42
907,EB,148,bike,0
908,EB,148,bus,0
909,WB,148,dual,35
910,WB,148,bike,0
911,WB,148,bus,0
912,NB,149,dual,10
913,NB,149,bike,0
914,NB,149,bus,7
915,SB,149,dual,0
916,SB,149,bike,38
917,SB,149,bus,0
918,EB,149,dual,0
919,EB,149,bike,32
920,EB,149,bus,0
921,WB,149,dual,0
922,NB,150,dual,32
923,NB,150,bike,3
924,NB,150,bus,0
925,SB,150,dual,8
926,SB,150,bike,8
927,SB,150,bus,0
928,EB,150,dual,26
929,EB,150,bike,3
930,EB,150,bus,3
931,WB,150,dual,35
932,WB,150,bike,2
933,WB,150,bus,0
934,NB,151,dual,6
935,NB,151,bike,0
936,NB,151,bus,0
937,SB,151,dual,9
938,SB,151,bike,0
939,SB,151,bus,0
940,EB,151,dual,14
941,EB,151,bike,0
942,EB,151,bus,0
943,WB,151,dual,8
944,WB,151,bike,0
945,WB,151,bus,0
946,NB,155,dual,3
947,NB,155,bike,2
948,NB,155,bus,0
949,SB,155,dual,4
950,SB,155,bike,0
951,SB,155,bus,0
952,EB,155,dual,151
953,EB,155,bike,13
954,EB,155,bus,41
955,WB,155,dual,152
956,WB,155,bike,0
957,WB,155,bus,20
958,NB,156,dual,4
959,NB,156,bike,0
960,NB,156,bus,0
961,SB,156,dual,9
962,SB,156,bike,0
963,SB,156,bus,0
964,EB,156,dual,113
965,EB,156,bike,9
966,EB,156,bus,36
967,WB,156,dual,135
968,WB,156,bike,0
969,WB,156,bus,40
970,NB,157,dual,5
971,NB,157,bike,2
972,NB,157,bus,0
973,SB,157,dual,4
974,SB,157,bike,0
975,SB,157,bus,0
976,EB,157,dual,110
977,EB,157,bike,4
978,EB,157,bus,48
979,WB,157,dual,98
980,WB,157,bike,3
981,WB,157,bus,37
982,NB,158,dual,0
983,NB,158,bike,0
984,NB,158,bus,0
985,SB,158,dual,0
986,SB,158,bike,0
987,SB,158,bus,0
988,EB,158,dual,0
989,EB,158,bike,0
990,EB,158,bus,0
991,WB,158,dual,0
992,WB,158,bike,0
993,WB,158,bus,0
994,NB,159,dual,0
995,NB,159,bike,0
996,NB,159,bus,0
997,SB,159,dual,0
998,SB,159,bike,0
999,SB,159,bus,0
1000,EB,159,dual,0
1001,EB,159,bike,0
1002,EB,159,bus,0
1003,WB,159,dual,0
