,count_id,date,dayofweek,district,hours,school_day,street_ew,street_ns,weather
4946,20354,2015-07-01,WEDNESDAY,SOUTHERN,7-10AM 3-6PM,YES,48th ST.,HALLDALE AV.,SUNNY
4947,20358,2008-06-25,WEDNESDAY,CENTRAL,7-10AM 1-4PM,YES,49TH ST,AVALON ST,SUNNY
4948,20359,2008-05-15,THURSDAY,CENTRAL,7-10AM 1-4PM,YES,49TH ST (JOG NEAR 50TH ST),AVALON BL,SUNNY
4949,20366,2010-03-30,TUESDAY,CENTRAL,7-10AM 3-6PM,YES,51ST ST,SAN PEDRO ST,SUNNY
4950,20369,2008-07-08,TUESDAY,CENTRAL,7-10AM 2-5PM,YES,52ND PL,MCKINLEY AV,SUNNY
4951,20370,2015-06-11,Thursday,,7-10 & 3-6,YES,52nd St,McKinley Blvd,SUNNY
4952,20380,2008-07-25,FRIDAY,CENTRAL,7-10AM 3-6PM,YES,53RD ST,AVALON BL,SUNNY
4953,20383,2008-07-08,TUESDAY,CENTRAL,7-10AM 2-5PM,YES,53RD ST,MCKINLEY AV,SUNNY
4954,20404,2007-08-17,FRIDAY,SR,7-10AM 3-6PM,YES,57TH ST [ NORTH JOG],WESTERN AV,SUNNY
4955,20417,2008-04-28,MONDAY,CENTRAL,7-10AM 2-5PM,YES,59TH PL,VERMONT AV,SUNNY
4956,20431,2009-04-20,MONDAY,SOUTHERN,7-10AM 2-5PM,YES,70TH ST,VAN NESS AV,SUNNY
4957,20432,2017-03-29,Wednesday,,7-10 & 3-6,YES,70th St,Van Ness Ave,SUNNY
4958,20500,2009-12-16,WEDNESDAY,CENTRAL,7-10AM 2-5PM,YES,90TH ST,AVALON BL,SUNNY
4959,20531,2009-10-28,WEDNESDAY,CENTRAL,7-10AM 2-5PM,YES,93RD ST,SAN PEDRO ST,SUNNY
4960,20535,2009-11-04,WEDNESDAY,CENTRAL,7-10AM 2-5PM,YES,94TH ST,SAN PEDRO ST,SUNNY
4961,20570,2010-05-11,TUESDAY,SOUTHERN,7-10AM 3-6PM,YES,109TH ST,CENTRAL AV,SUNNY
