,approach,count_id,time,type,volume
511,SB,26586,16.15,pm60,39
512,NB,26587,16.15,pm60,71
513,EB,26587,16.00,pm60,946
514,WB,26587,17.00,pm60,1163
515,SB,26587,15.00,pm60,8
516,NB,26588,15.00,pm60,4
517,EB,26588,16.45,pm60,472
518,WB,26588,15.00,pm60,372
519,SB,26588,0.00,pm60,0
520,NB,26589,13.45,pm60,61
521,EB,26589,14.00,pm60,237
522,WB,26589,13.45,pm60,138
523,SB,26589,13.45,pm60,43
524,NB,26590,17.00,pm60,50
525,EB,26590,17.00,pm60,1390
526,WB,26590,17.00,pm60,1216
527,SB,26590,16.45,pm60,57
528,NB,26591,16.30,pm60,681
529,EB,26591,15.45,pm60,42
530,WB,26591,15.00,pm60,47
531,SB,26591,15.45,pm60,955
532,NB,26592,16.45,pm60,1209
533,EB,26592,15.45,pm60,193
534,WB,26592,17.00,pm60,512
535,SB,26592,16.15,pm60,1023
536,NB,26593,16.45,pm60,180
537,EB,26593,16.00,pm60,53
538,WB,26593,15.30,pm60,17
539,SB,26593,17.00,pm60,197
540,NB,26594,15.00,pm60,6
541,EB,26594,16.45,pm60,1135
542,WB,26594,16.45,pm60,593
543,SB,26594,15.15,pm60,27
544,NB,26595,0.00,pm60,0
545,EB,26595,15.45,pm60,1295
546,WB,26595,17.00,pm60,1327
547,SB,26595,17.00,pm60,58
548,NB,26596,16.30,pm60,18
549,EB,26596,17.00,pm60,1169
550,WB,26596,16.45,pm60,896
551,SB,26596,15.30,pm60,149
552,NB,26597,17.00,pm60,1444
553,EB,26597,17.00,pm60,842
554,WB,26597,16.45,pm60,1423
555,SB,26597,17.00,pm60,841
556,NB,26598,14.00,pm60,33
557,EB,26598,14.45,pm60,1382
558,WB,26598,14.30,pm60,1196
559,SB,26598,14.00,pm60,74
560,NB,26599,17.00,pm60,692
561,EB,26599,16.45,pm60,82
562,WB,26599,17.00,pm60,48
563,SB,26599,17.00,pm60,722
564,NB,26600,15.00,pm60,623
565,EB,26600,16.30,pm60,199
566,WB,26600,17.00,pm60,121
567,SB,26600,15.00,pm60,616
568,NB,26602,15.45,pm60,824
569,EB,26602,17.00,pm60,557
570,WB,26602,17.00,pm60,776
571,SB,26602,17.00,pm60,1470
572,NB,26603,16.30,pm60,752
573,EB,26603,0.00,pm60,0
574,WB,26603,15.00,pm60,53
575,SB,26603,16.30,pm60,465
576,NB,26604,0.00,pm60,0
577,EB,26604,17.00,pm60,1305
578,WB,26604,17.00,pm60,1425
579,SB,26604,16.00,pm60,48
580,NB,26605,16.30,pm60,44
581,EB,26605,17.00,pm60,1977
582,WB,26605,17.00,pm60,1889
583,SB,26605,15.00,pm60,56
584,NB,26606,16.00,pm60,48
585,EB,26606,17.00,pm60,1142
586,WB,26606,16.15,pm60,852
587,SB,26606,16.00,pm60,60
588,NB,26607,18.15,pm60,63
589,EB,26607,17.30,pm60,710
590,WB,26607,17.30,pm60,789
591,SB,26607,18.30,pm60,34
592,NB,26608,15.45,pm60,1158
593,EB,26608,14.30,pm60,915
594,WB,26608,14.15,pm60,770
595,SB,26608,16.00,pm60,1029
596,NB,26609,15.30,pm60,41
597,EB,26609,17.00,pm60,1189
598,WB,26609,16.45,pm60,749
599,SB,26609,16.45,pm60,56
